"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"150","115 EAST 92 STREET , New York",-73.9534096,40.7837833,"Rent","D3  -ELEVATOR",NA,45.56,"Rent"
"151","115 NASSAU STREET , New York",-74.0071252,40.7110232,"Rent","R4  -ELEVATOR",NA,57.33,"Rent"
"152","115 NORFOLK STREET , New York",-73.987181,40.7192855,"Rent","R4  -ELEVATOR",NA,45.81,"Rent"
"153","115 PITT STREET , New York",-73.9821879,40.7201639,"Rent","D3  -ELEVATOR",NA,41.72,"Rent"
"154","115 WEST 13 STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,48.19,"Rent"
"155","115 WEST 137 STREET , New York",-73.9407389,40.815998,"Rent","C1  -WALK-UP",NA,20.95,"Rent"
"156","115 WEST 16 STREET , New York",-73.996692,40.739269,"Rent","D1  -ELEVATOR",NA,38.2,"Rent"
"157","115 WEST 71 STREET , New York",-73.9797199461538,40.7770743769231,"Rent","D3  -ELEVATOR",NA,45.61,"Rent"
"158","115 WEST 86 STREET , New York",-73.972764,40.7870171,"Rent","D3  -ELEVATOR",NA,41.5866666666667,"Rent"
"159","1152 1 AVENUE , New York",-73.9598383,40.7621293,"Rent","R9  -CONDOPS",NA,51.87,"Rent"
"160","1154 1 AVENUE , New York",-73.9597465,40.7621934,"Rent","R9  -CONDOPS",NA,39.41,"Rent"
"161","1156 3 AVENUE , New York",-73.96299,40.7671067,"Rent","R9  -CONDOPS",NA,52.65,"Rent"
"162","116 CENTRAL PARK SOUTH , New York",-73.9772407,40.7657598,"Rent","R4  -ELEVATOR",NA,49.43,"Rent"
"163","116 JOHN STREET , New York",-74.0058924,40.7074594,"Rent","D7  -ELEVATOR",NA,54.11,"Rent"
"164","116 SEAMAN AVENUE , New York",-73.9238807,40.8688376,"Rent","D1  -ELEVATOR",NA,25.57,"Rent"
"165","116 WEST 14 STREET , New York",-73.9980389,40.7374869,"Rent","R4  -ELEVATOR",NA,38.1,"Rent"
"166","116 WOOSTER STREET , New York",-74.0002426,40.7248646,"Rent","R4  -ELEVATOR",NA,37.51,"Rent"
"167","117 EAST 102 STREET , New York",-73.9487257,40.7901749,"Rent","R4  -ELEVATOR",NA,32.95,"Rent"
"168","117 EAST 29 STREET , New York",-73.9826264,40.7436254,"Rent","R4  -ELEVATOR",NA,47.87,"Rent"
"169","117 EAST 57 STREET , New York",-73.9698223,40.7614822,"Rent","R4  -ELEVATOR",NA,49.09,"Rent"
"170","117 SULLIVAN STREET , New York",NA,NA,"Rent","C4  -WALK-UP",NA,48.97,"Rent"
"171","117 WAVERLY PLACE , New York",-73.9991866,40.7327463,"Rent","C4  -WALK-UP",NA,44.69,"Rent"
"172","117 WEST 123 STREET , New York",-73.9474169,40.8070901,"Rent","R4  -ELEVATOR",NA,30.42,"Rent"
"173","117 WEST 17 STREET , New York",-73.9961107,40.7398001,"Rent","R4  -ELEVATOR",NA,50.76,"Rent"
"174","117 WEST 58 STREET , New York",-73.9773555,40.7654481,"Rent","D6  -ELEVATOR",NA,48.8266666666667,"Rent"
"175","1175 YORK AVENUE , New York",-73.9577816,40.7616739,"Rent","R9  -CONDOPS",NA,42.345,"Rent"
"176","1178 2 AVENUE , New York",-73.9627804,40.7623647,"Rent","R4  -ELEVATOR",NA,50.46,"Rent"
"177","118 EAST 104 STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,34.285,"Rent"
